%time,field.transforms0.header.seq,field.transforms0.header.stamp,field.transforms0.header.frame_id,field.transforms0.child_frame_id,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w
1635384963361363723,0,1635384963360927699,world,cf33,-2.0128257274627686,0.006315114442259073,0.017479760572314262,-0.0028085996796733356,-0.019676902890418138,0.0954554211913161,0.9952352454699687
1635384963361406397,0,1635384963360954309,world,cf3,1.4927341938018799,-0.019975099712610245,0.012617712840437889,-0.001984845558665304,-0.00011772652613889103,0.06186877390924961,0.9980823119079606
1635384963361441038,0,1635384963360965414,world,cf41,-1.969470739364624,-0.9992806315422058,0.017795953899621964,-0.018910035472145634,-0.013699664720652089,0.04838601122445166,0.9985557188573762
1635384963361468696,0,1635384963360975122,world,cf47,-3.0136966705322266,-0.9342617988586426,0.009614518843591213,-0.0010246116940579447,-0.017828538030670055,0.04384543217934104,0.9988787070908921
1635384963361495166,0,1635384963360985948,world,cf17,0.4955730736255646,0.0037249296437948942,0.013526329770684242,-0.016056118889302508,0.011453908190975082,0.08980659594738256,0.9957639199919371
1635384963361507528,0,1635384963360994189,world,cf20,0.49844077229499817,-1.0873773097991943,0.009801960550248623,0.005788375836363299,0.00011481346577221308,0.0356539575454544,0.9993474254904507
1635384963361551039,0,1635384963361003129,world,cf27,1.4616978168487549,-1.0947155952453613,0.00838748924434185,-0.02616448480470601,-0.013551323500114218,0.004887697689624608,0.999553846362263
1635384963361586868,0,1635384963361012627,world,cf28,-3.005380868911743,0.059081416577100754,0.014843174256384373,0.005552348732792833,-0.016112482326126838,0.05529545671868849,0.9983245823894709
1635384963371196922,0,1635384963370894995,world,cf33,-2.0128166675567627,0.006374006159603596,0.017469123005867004,-0.003182551743842797,-0.019654708928751725,0.09612875894264955,0.9951697470710561
1635384963371222694,0,1635384963370916925,world,cf3,1.4926706552505493,-0.020010024309158325,0.012550707906484604,-0.0029914133774962895,-0.001210188435603031,0.061654384453991,0.9980923423048365
1635384963371251259,0,1635384963370924468,world,cf41,-1.9693125486373901,-0.9984922409057617,0.017630767077207565,-0.009779646878423469,-0.023909890744882076,0.04348381185391503,0.9987200977942491
1635384963371290859,0,1635384963370931243,world,cf47,-3.013690233230591,-0.9342292547225952,0.009684721007943153,-0.0014498726680196334,-0.01779469902690328,0.04349175602539217,0.9988942455103124
1635384963371307482,0,1635384963370937948,world,cf17,0.4955770671367645,0.003924796357750893,0.013527997769415379,-0.01529935899464657,0.011320618417430671,0.09026158203759195,0.995736220101022
1635384963371336327,0,1635384963370944583,world,cf20,0.4984603524208069,-1.08745539188385,0.009873777627944946,0.005457786299671571,-0.0011594436198869745,0.03386464666700717,0.999410853435822
1635384963371350155,0,1635384963370950799,world,cf27,1.4616491794586182,-1.0947445631027222,0.008396069519221783,-0.02697720533955318,-0.012543647406153808,0.00578318203684591,0.9995406155366306
1635384963371366289,0,1635384963370956945,world,cf28,-3.005356788635254,0.059085097163915634,0.014828094281256199,0.003197470860713228,-0.01708145598111794,0.0539194709235001,0.9983940558201405
1635384963381355445,0,1635384963380986120,world,cf33,-2.0128328800201416,0.006322732660919428,0.017533328384160995,-0.0026189647073414546,-0.0190570238762409,0.09651963213181403,0.9951451811057427
1635384963381383521,0,1635384963381007632,world,cf3,1.4927107095718384,-0.020067015662789345,0.012535235844552517,-0.003237887930721817,-0.0013004790311325523,0.061865608118522,0.9980783893904142
1635384963381393998,0,1635384963381015594,world,cf41,-1.9693636894226074,-0.9987118244171143,0.017667585983872414,-0.01009106548314464,-0.02301031177136935,0.04493566626511914,0.9986738616019292
1635384963381413414,0,1635384963381022229,world,cf47,-3.0137381553649902,-0.9344140291213989,0.009743967093527317,-0.0014454343276816932,-0.019772286123942075,0.04249506557305173,0.9988999633711974
1635384963381435763,0,1635384963381028864,world,cf17,0.4956023097038269,0.0038823732174932957,0.013437283225357533,-0.016107698966760287,0.011374641255227582,0.08944672381805917,0.995796386400617
1635384963381454132,0,1635384963381035429,world,cf20,0.4981352388858795,-1.0865720510482788,0.009126419201493263,-0.002805298169957568,0.0073633421505100854,0.0396902110710394,0.9991809639097857
1635384963381513218,0,1635384963381042064,world,cf27,1.461704134941101,-1.0945848226547241,0.0083317244425416,-0.02652518506774892,-0.013307666684784846,0.004089403051860104,0.9995511979619692
1635384963381531447,0,1635384963381049048,world,cf28,-3.0054330825805664,0.05914207175374031,0.014705638401210308,0.003475403054849051,-0.016264781858176813,0.057567434300677324,0.9982030699976581
1635384963391111538,0,1635384963390792919,world,cf33,-2.0128142833709717,0.006317975465208292,0.017463449388742447,-0.004029257124595982,-0.019264738536219003,0.0955535746123749,0.99522969676098
1635384963391127462,0,1635384963390814360,world,cf3,1.4926780462265015,-0.01991574466228485,0.012486334890127182,-0.003577784394685264,-0.00013683417608259359,0.06214800463807735,0.9980605223405737
1635384963391219654,0,1635384963390822741,world,cf41,-1.969283103942871,-0.9986931681632996,0.017596224322915077,-0.011748739486078177,-0.024592855877938316,0.04259663808611389,0.9987205239625427
1635384963391239489,0,1635384963390829446,world,cf47,-3.0136919021606445,-0.9343756437301636,0.009694382548332214,-0.0018592395373911818,-0.02026256176012365,0.041691809937165175,0.9989233027632417
1635384963391262606,0,1635384963390836500,world,cf17,0.49570566415786743,0.004012798424810171,0.013437090441584587,-0.015157451635862587,0.010895403877169032,0.08875555417853846,0.9958785033510466
